COUNTY,YEAR,Indicator,MEASURE,COUNT,VALUE,RANK,STATE
Anderson,2018,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),1333,167.3,22,162.3
Anderson,2018,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),311,41.8,14,45.3
Anderson,2018,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),515,64.7,40,47.0
Anderson,2018,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),260,33.5,31,23.9
Anderson,2018,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),1361,177.1,21,170.7
Anderson,2018,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),153,25.8,23,20.6
Anderson,2018,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),108,17.7,30,15.8
Anderson,2018,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),6785,9.1,26,8.3
Anderson,2018,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,11.6,NA,11.7
Anderson,2018,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,78.1,NA,64.5
Anderson,2018,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,16.6,NA,27.3
Anderson,2018,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,1.3,NA,2.3
Anderson,2018,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,3.9,NA,5.8
Anderson,2018,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,15.2,22,15.6
Anderson,2018,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,79.2,30,77.3
Anderson,2018,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,66.1,NA,65.9
Anderson,2018,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,6.0,NA,5.2
Anderson,2018,Health Care Access,Population without health insurance (percent; 2010-2014),NA,10.6,NA,11.0
Anderson,2018,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,NA,NA,NA
Anderson,2018,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,1.2,11,1.8
Anderson,2018,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,44.3,NA,38.0
Bamberg,2015,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),NA,76.8,NA,51.2
Bamberg,2015,Births,Breastfeeding initiation (percent of all live births; 2013-2015),NA,55.0,34,72.4
Bamberg,2015,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),NA,10.7,26,9.6
Bamberg,2015,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),NA,65.7,41,74.3
Bamberg,2015,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),NA,12.1,26,10.6
Bamberg,2015,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),NA,12.1,29,11.0
Bamberg,2015,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),NA,27.5,12,28.7
Bamberg,2015,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),NA,9.3,32,6.8
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,7.4,42,4.7
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,6.6,40,3.8
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,6.3,35,4.7
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,54.8,44,38.5
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,7.5,3,12.0
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,14.2,44,8.3
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,19.2,18,21.0
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,36.2,26,32.7
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,61.3,45,73.7
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,66.6,12,63.9
Bamberg,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,56.6,44,71.6
Bamberg,2015,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),NA,8.0,19,13.0
Bamberg,2015,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),NA,37.5,27,38.7
Bamberg,2015,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),NA,187.0,26,170.2
Bamberg,2015,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),NA,54.2,32,45.9
Bamberg,2015,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),NA,50.3,23,49.6
Bamberg,2015,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),NA,24.9,26,22.5
Bamberg,2015,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),NA,161.2,7,178.7
Bamberg,2015,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),NA,26.3,33,17.3
Bamberg,2015,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),NA,6.1,3,14.7
Bamberg,2015,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),NA,9.0,26,8.3
Bamberg,2015,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,18.1,NA,13.5
Bamberg,2015,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,35.7,NA,64.6
Bamberg,2015,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,61.4,NA,27.8
Bamberg,2015,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.9,NA,2.1
Bamberg,2015,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,2.0,NA,5.5
Bamberg,2015,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,19.6,32,17.9
Bamberg,2015,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,84.6,9,77.0
Bamberg,2015,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,49.5,NA,62.9
Bamberg,2015,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,30.4,NA,18.1
Bamberg,2015,Health Care Access,Population without health insurance (percent; 2010-2014),NA,17.9,NA,15.9
Bamberg,2015,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,0.0,1,1.8
Bamberg,2015,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,6.5,43,2.8
Bamberg,2015,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,54.9,NA,40.0
Bamberg,2016,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),284,76.8,NA,51.2
Bamberg,2016,Births,Breastfeeding initiation (percent of all live births; 2013-2015),231,58.0,33,74.6
Bamberg,2016,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),46,11.6,34,9.5
Bamberg,2016,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),275,69.1,39,74.6
Bamberg,2016,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),41,10.3,21,10.0
Bamberg,2016,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),48,12.1,31,11.0
Bamberg,2016,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),35,18.7,3,26.1
Bamberg,2016,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),4,10.1,34,6.8
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,6.2,35,4.6
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,5.6,35,3.8
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,5.6,24,4.8
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,49.4,37,38.7
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,16.0,34,12.3
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,12.8,41,12.6
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,19.0,13,20.4
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,31.5,11,32.7
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,63.6,41,73.7
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,60.2,29,62.8
Bamberg,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,61.2,40,71.8
Bamberg,2016,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),2,6.8,15,14.7
Bamberg,2016,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),23,35.8,15,43.0
Bamberg,2016,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),115,189.1,30,168.4
Bamberg,2016,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),43,72.8,44,45.4
Bamberg,2016,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),33,51.0,24,48.5
Bamberg,2016,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),15,24.1,25,22.5
Bamberg,2016,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),113,183.6,22,176.8
Bamberg,2016,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),13,29.3,33,19.0
Bamberg,2016,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),4,9.0,5,15.3
Bamberg,2016,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),550,9.3,27,8.3
Bamberg,2016,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,17.5,NA,12.8
Bamberg,2016,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,36.2,NA,64.7
Bamberg,2016,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,60.6,NA,27.6
Bamberg,2016,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.9,NA,2.2
Bamberg,2016,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,2.4,NA,5.5
Bamberg,2016,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,19.0,31,16.7
Bamberg,2016,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,83.7,12,77.8
Bamberg,2016,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,50.2,NA,64.4
Bamberg,2016,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,24.0,NA,13.8
Bamberg,2016,Health Care Access,Population without health insurance (percent; 2010-2014),NA,16.5,NA,13.3
Bamberg,2016,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,NA,NA,NA
Bamberg,2016,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,5.4,42,2.6
Bamberg,2016,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,49.8,NA,39.3
Bamberg,2017,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),252,66.8,NA,50.1
Bamberg,2017,Births,Breastfeeding initiation (percent of all live births; 2013-2015),231,61.3,32,76.5
Bamberg,2017,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),41,10.9,27,9.6
Bamberg,2017,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),252,66.8,43,75.2
Bamberg,2017,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),34,9.0,18,9.1
Bamberg,2017,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),36,9.6,3,11.2
Bamberg,2017,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),27,15.1,3,23.8
Bamberg,2017,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),4,10.6,38,6.8
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,5.8,30,4.6
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,7.0,44,3.8
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,5.4,20,4.9
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,52.9,42,38.4
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,19.7,41,12.8
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,10.5,37,8.7
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,17.4,10,19.5
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,37.5,27,33.2
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,61.2,40,72.7
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,60.8,26,62.4
Bamberg,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,72.5,22,73.4
Bamberg,2017,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),,4.5,5,16.7
Bamberg,2017,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),,31.1,10,45.4
Bamberg,2017,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),,198.1,40,165.5
Bamberg,2017,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),,61.7,36,45.6
Bamberg,2017,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),,57.9,32,48.4
Bamberg,2017,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),,29.4,29,23.4
Bamberg,2017,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),,190.9,28,174.0
Bamberg,2017,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),,40.6,44,20.5
Bamberg,2017,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),,21.0,42,15.6
Bamberg,2017,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),,9.4,28,8.3
Bamberg,2017,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,16.5,NA,12.3
Bamberg,2017,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,36.4,NA,64.6
Bamberg,2017,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,60.5,NA,27.5
Bamberg,2017,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.9,NA,2.3
Bamberg,2017,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,2.2,NA,5.7
Bamberg,2017,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,16.7,27,15.8
Bamberg,2017,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,81.2,24,78.0
Bamberg,2017,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,51.6,NA,65.2
Bamberg,2017,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,6.1,NA,5.3
Bamberg,2017,Health Care Access,Population without health insurance (percent; 2010-2014),NA,16.0,NA,12.1
Bamberg,2017,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,NA,NA,NA
Bamberg,2017,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,2.6,31,1.9
Bamberg,2017,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,48.4,NA,38.7
Bamberg,2018,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),257,66.2,NA,49.4
Bamberg,2018,Births,Breastfeeding initiation (percent of all live births; 2013-2015),246,63.4,29,77.5
Bamberg,2018,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),47,12.1,34,9.7
Bamberg,2018,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),263,67.8,42,76.2
Bamberg,2018,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),37,9.5,22,8.6
Bamberg,2018,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),49,12.6,30,11.2
Bamberg,2018,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),27,15.7,3,22.5
Bamberg,2018,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),5,12.9,43,6.9
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,*,*,4.8
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,*,*,3.9
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,*,*,5.1
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,*,*,38.9
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,*,*,13.3
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,*,*,9.0
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,*,*,18.9
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,*,*,34.1
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,*,*,72.7
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,*,*,60.9
Bamberg,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,*,*,73.8
Bamberg,2018,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),1,1.4,1,18.8
Bamberg,2018,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),22,31.2,11,44.8
Bamberg,2018,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),120,189.0,37,162.3
Bamberg,2018,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),44,66.2,40,45.3
Bamberg,2018,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),33,50.4,25,47.0
Bamberg,2018,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),15,23.5,23,23.9
Bamberg,2018,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),125,200.6,30,170.7
Bamberg,2018,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),16,37.5,42,20.6
Bamberg,2018,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),7,19.7,37,15.8
Bamberg,2018,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),605,9.9,32,8.3
Bamberg,2018,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,18.3,NA,11.7
Bamberg,2018,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,36.5,NA,64.5
Bamberg,2018,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,60.4,NA,27.3
Bamberg,2018,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.9,NA,2.3
Bamberg,2018,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,2.2,NA,5.8
Bamberg,2018,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,*,*,15.6
Bamberg,2018,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,*,*,77.3
Bamberg,2018,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,52.9,NA,65.9
Bamberg,2018,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,8.1,NA,5.2
Bamberg,2018,Health Care Access,Population without health insurance (percent; 2010-2014),NA,12.6,NA,11.0
Bamberg,2018,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,NA,NA,NA
Bamberg,2018,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,5.4,45,1.8
Bamberg,2018,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,51.9,NA,38.0
Barnwell,2015,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),NA,72.3,NA,51.2
Barnwell,2015,Births,Breastfeeding initiation (percent of all live births; 2013-2015),NA,48.0,40,72.4
Barnwell,2015,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),NA,10.8,27,9.6
Barnwell,2015,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),NA,65.4,42,74.3
Barnwell,2015,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),NA,9.3,12,10.6
Barnwell,2015,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),NA,11.7,26,11.0
Barnwell,2015,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),NA,43.4,38,28.7
Barnwell,2015,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),NA,9.7,36,6.8
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,6.8,41,4.7
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,3.5,15,3.8
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,7.6,41,4.7
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,52.7,42,38.5
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,21.8,42,12.0
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,14.6,45,8.3
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,23.7,32,21.0
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,35.3,21,32.7
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,66.1,35,73.7
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,52.0,43,63.9
Barnwell,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,73.5,12,71.6
Barnwell,2015,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),NA,8.1,21,13.0
Barnwell,2015,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),NA,50.1,43,38.7
Barnwell,2015,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),NA,195.4,31,170.2
Barnwell,2015,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),NA,51.7,30,45.9
Barnwell,2015,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),NA,71.2,42,49.6
Barnwell,2015,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),NA,20.3,15,22.5
Barnwell,2015,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),NA,250.6,40,178.7
Barnwell,2015,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),NA,21.9,28,17.3
Barnwell,2015,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),NA,13.2,23,14.7
Barnwell,2015,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),NA,10.2,38,8.3
Barnwell,2015,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,22.0,NA,13.5
Barnwell,2015,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,52.0,NA,64.6
Barnwell,2015,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,44.4,NA,27.8
Barnwell,2015,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,1.2,NA,2.1
Barnwell,2015,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,2.5,NA,5.5
Barnwell,2015,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,23.7,43,17.9
Barnwell,2015,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,77.7,39,77.0
Barnwell,2015,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,56.7,NA,62.9
Barnwell,2015,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,26.5,NA,18.1
Barnwell,2015,Health Care Access,Population without health insurance (percent; 2010-2014),NA,15.9,NA,15.9
Barnwell,2015,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,0.0,1,1.8
Barnwell,2015,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,4.4,34,2.8
Barnwell,2015,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,48.7,NA,40.0
Barnwell,2016,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),548,72.3,NA,51.2
Barnwell,2016,Births,Breastfeeding initiation (percent of all live births; 2013-2015),398,52.4,40,74.6
Barnwell,2016,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),79,10.4,25,9.5
Barnwell,2016,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),501,65.9,42,74.6
Barnwell,2016,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),84,11.1,24,10.0
Barnwell,2016,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),82,10.8,16,11.0
Barnwell,2016,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),83,39.7,35,26.1
